timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-04-01T00:02:10.803808+07:00,Bắc Ninh,107,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.1 km/h,62%,17.2°C,38.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T01:12:12.480597+07:00,Bắc Ninh,107,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.7 km/h,63%,16.1°C,38.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T02:02:17.314582+07:00,Bắc Ninh,96,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.7 km/h,63%,16.1°C,33.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T03:10:23.330829+07:00,Bắc Ninh,90,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.6 km/h,62%,16.1°C,30.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T04:02:16.765469+07:00,Bắc Ninh,90,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.6 km/h,62%,16.1°C,30.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T05:02:15.256190+07:00,Bắc Ninh,99,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.6 km/h,60%,16.1°C,35.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T06:02:09.509445+07:00,Bắc Ninh,88,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.4 km/h,59%,16.1°C,29.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T07:44:51.272838+07:00,Bắc Ninh,110,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.6 km/h,58%,16.1°C,39.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T09:31:02.465819+07:00,Bắc Ninh,117,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.6 km/h,54%,17.8°C,42.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T10:36:50.010423+07:00,Bắc Ninh,107,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.5 km/h,41%,20.0°C,38.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T11:12:35.929152+07:00,Bắc Ninh,107,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.5 km/h,46%,20.0°C,38.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T12:02:03.360578+07:00,Bắc Ninh,107,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.5 km/h,46%,20.0°C,38.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T13:13:15.412877+07:00,Bắc Ninh,107,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.3 km/h,40%,22.2°C,38.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T14:10:11.307630+07:00,Bắc Ninh,107,/dl/web/weather/ic-w-02-new-clouds-full.svg,8.5 km/h,42%,22.2°C,38.0,N/A,N/A,N/A,N/A,N/A
