timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-02-05T22:01:34.023034+07:00,Cần Thơ,74,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,11.1 km/h,83%,24.0°C,21.3,N/A,N/A,N/A,N/A,N/A
2025-02-05T23:09:17.597900+07:00,Cần Thơ,62,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,88%,23.0°C,15.2,N/A,N/A,N/A,N/A,N/A
2025-02-06T00:01:24.872619+07:00,Cần Thơ,62,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,88%,23.0°C,15.2,N/A,N/A,N/A,N/A,N/A
2025-02-06T01:01:30.381935+07:00,Cần Thơ,62,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,88%,23.0°C,15.2,N/A,N/A,N/A,N/A,N/A
2025-02-06T02:01:35.143510+07:00,Cần Thơ,65,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,94%,22.0°C,16.8,N/A,N/A,N/A,N/A,N/A
2025-02-06T03:01:34.831956+07:00,Cần Thơ,65,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,94%,22.0°C,16.8,N/A,N/A,N/A,N/A,N/A
2025-02-06T04:01:40.358567+07:00,Cần Thơ,65,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,3.7 km/h,94%,22.0°C,16.8,N/A,N/A,N/A,N/A,N/A
2025-02-06T05:01:42.151299+07:00,Cần Thơ,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,100%,21.0°C,18.3,N/A,N/A,N/A,N/A,N/A
2025-02-06T06:01:44.040036+07:00,Cần Thơ,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,100%,21.0°C,18.3,N/A,N/A,N/A,N/A,N/A
2025-02-06T07:35:28.928731+07:00,Cần Thơ,68,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,100%,20.0°C,18.3,N/A,N/A,N/A,N/A,N/A
2025-02-06T09:08:43.564891+07:00,Cần Thơ,75,/dl/web/weather/ic-w-09-mist-full.svg,0.0 km/h,88%,24.0°C,22.1,N/A,N/A,N/A,N/A,N/A
2025-02-06T10:12:19.296352+07:00,Cần Thơ,75,/dl/web/weather/ic-w-02-new-clouds-full.svg,3.7 km/h,83%,26.0°C,22.1,N/A,N/A,N/A,N/A,N/A
2025-02-06T11:01:24.281392+07:00,Cần Thơ,84,/dl/web/weather/ic-w-02-new-clouds-full.svg,3.7 km/h,83%,26.0°C,26.7,N/A,N/A,N/A,N/A,N/A
2025-02-06T12:01:34.143998+07:00,Cần Thơ,84,/dl/web/weather/ic-w-02-new-clouds-full.svg,3.7 km/h,74%,27.0°C,26.7,N/A,N/A,N/A,N/A,N/A
2025-02-06T13:01:20.167742+07:00,Cần Thơ,84,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,62%,29.0°C,26.7,N/A,N/A,N/A,N/A,N/A
2025-02-06T14:02:02.537504+07:00,Cần Thơ,87,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,58%,29.0°C,28.3,N/A,N/A,N/A,N/A,N/A
2025-02-06T15:10:49.261107+07:00,Cần Thơ,87,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,58%,30.0°C,28.3,N/A,N/A,N/A,N/A,N/A
2025-02-06T16:08:11.837090+07:00,Cần Thơ,87,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,55%,30.0°C,28.3,N/A,N/A,N/A,N/A,N/A
2025-02-06T17:01:44.814415+07:00,Cần Thơ,81,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,55%,30.0°C,25.1,N/A,N/A,N/A,N/A,N/A
2025-02-06T18:01:34.894160+07:00,Cần Thơ,81,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,45%,30.0°C,25.1,N/A,N/A,N/A,N/A,N/A
