timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-06-01T00:01:26.250473+07:00,Cần Thơ,66,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,100%,26.1°C,17.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T01:10:20.353367+07:00,Cần Thơ,50,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,100%,26.1°C,9.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T02:01:25.736733+07:00,Cần Thơ,50,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,100%,26.1°C,9.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T03:01:24.866615+07:00,Cần Thơ,39,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,100%,25.0°C,7.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T04:01:37.350301+07:00,Cần Thơ,33,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,100%,25.0°C,6.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T05:01:44.229371+07:00,Cần Thơ,33,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,100%,25.0°C,6.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T07:52:48.229548+07:00,Cần Thơ,88,/dl/web/weather/ic-w-02-new-clouds-full.svg,1.8 km/h,100%,26.1°C,29.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T09:55:18.766617+07:00,Cần Thơ,44,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,89%,28.9°C,8.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T10:54:07.279654+07:00,Cần Thơ,44,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,70%,31.1°C,8.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T11:25:42.379309+07:00,Cần Thơ,50,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,70%,32.2°C,9.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T12:10:30.213330+07:00,Cần Thơ,44,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,66%,32.8°C,8.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T13:12:06.825633+07:00,Cần Thơ,50,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,70%,32.8°C,9.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T14:08:24.462260+07:00,Cần Thơ,53,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.5 km/h,66%,32.2°C,10.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T15:11:03.266768+07:00,Cần Thơ,53,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,59%,33.9°C,10.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T16:08:43.107657+07:00,Cần Thơ,56,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.4 km/h,59%,32.8°C,12.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T17:08:55.616941+07:00,Cần Thơ,60,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,66%,32.2°C,14.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T18:01:20.120563+07:00,Cần Thơ,60,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,66%,32.2°C,14.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T19:14:25.166461+07:00,Cần Thơ,58,/dl/web/weather/ic-w-12-night-rain-full.svg,5.5 km/h,79%,28.9°C,13.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T20:18:49.561763+07:00,Cần Thơ,58,/dl/web/weather/ic-w-12-night-rain-full.svg,7.4 km/h,89%,27.8°C,13.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T21:01:50.938412+07:00,Cần Thơ,58,/dl/web/weather/ic-w-12-night-rain-full.svg,7.4 km/h,94%,27.2°C,13.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T22:01:22.757668+07:00,Cần Thơ,58,/dl/web/weather/ic-w-12-night-rain-full.svg,7.4 km/h,94%,27.2°C,13.0,N/A,N/A,N/A,N/A,N/A
2025-06-01T23:09:21.191017+07:00,Cần Thơ,79,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,94%,27.2°C,24.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T00:01:44.803241+07:00,Cần Thơ,79,/dl/web/weather/ic-w-12-night-rain-full.svg,7.4 km/h,100%,27.2°C,24.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T01:10:39.782102+07:00,Cần Thơ,50,/dl/web/weather/ic-w-12-night-rain-full.svg,7.4 km/h,100%,26.1°C,9.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T02:01:39.723552+07:00,Cần Thơ,50,/dl/web/weather/ic-w-12-night-rain-full.svg,0.0 km/h,100%,26.1°C,9.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T03:09:05.203185+07:00,Cần Thơ,55,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,100%,26.1°C,11.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T04:01:24.305315+07:00,Cần Thơ,55,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,100%,26.1°C,11.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T05:08:07.744304+07:00,Cần Thơ,56,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,100%,26.1°C,12.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T06:01:34.186604+07:00,Cần Thơ,56,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,100%,26.1°C,12.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T07:43:38.118529+07:00,Cần Thơ,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,100%,26.1°C,19.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T09:42:42.837031+07:00,Cần Thơ,62,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,89%,28.9°C,15.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T10:44:52.621563+07:00,Cần Thơ,60,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.8 km/h,79%,31.1°C,14.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T11:20:24.257258+07:00,Cần Thơ,53,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.4 km/h,84%,30.0°C,10.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T12:11:07.696542+07:00,Cần Thơ,53,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,74%,30.0°C,10.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T13:14:01.406535+07:00,Cần Thơ,58,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.5 km/h,79%,31.1°C,13.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T14:11:13.154736+07:00,Cần Thơ,66,/dl/web/weather/ic-w-06-rain-full.svg,13.0 km/h,75%,32.2°C,17.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T15:13:48.670980+07:00,Cần Thơ,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,79%,31.1°C,19.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T16:10:46.069333+07:00,Cần Thơ,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,74%,31.1°C,19.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T17:01:25.928378+07:00,Cần Thơ,69,/dl/web/weather/ic-w-06-rain-full.svg,11.1 km/h,74%,30.0°C,19.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T18:08:29.141836+07:00,Cần Thơ,77,/dl/web/weather/ic-w-06-rain-full.svg,7.4 km/h,84%,28.9°C,23.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T19:15:52.446173+07:00,Cần Thơ,82,/dl/web/weather/ic-w-12-night-rain-full.svg,5.5 km/h,89%,27.8°C,26.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T20:25:20.225186+07:00,Cần Thơ,81,/dl/web/weather/ic-w-12-night-rain-full.svg,3.7 km/h,94%,27.8°C,25.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T21:01:40.521463+07:00,Cần Thơ,81,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,94%,27.2°C,25.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T22:01:42.233928+07:00,Cần Thơ,84,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,94%,27.2°C,27.0,N/A,N/A,N/A,N/A,N/A
2025-06-02T23:11:16.930973+07:00,Cần Thơ,84,/dl/web/weather/ic-w-12-night-rain-full.svg,7.4 km/h,94%,27.2°C,27.0,N/A,N/A,N/A,N/A,N/A
2025-06-03T00:09:32.994196+07:00,Cần Thơ,84,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,100%,26.1°C,27.0,N/A,N/A,N/A,N/A,N/A
2025-06-03T01:12:23.603692+07:00,Cần Thơ,77,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,100%,26.1°C,23.0,N/A,N/A,N/A,N/A,N/A
2025-06-03T02:01:37.682394+07:00,Cần Thơ,77,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,100%,26.1°C,23.0,N/A,N/A,N/A,N/A,N/A
2025-06-03T03:09:48.319646+07:00,Cần Thơ,79,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,94%,26.1°C,24.0,N/A,N/A,N/A,N/A,N/A
2025-06-03T04:01:55.626109+07:00,Cần Thơ,79,/dl/web/weather/ic-w-12-night-rain-full.svg,0.0 km/h,94%,26.1°C,24.0,N/A,N/A,N/A,N/A,N/A
2025-06-03T05:01:44.292494+07:00,Cần Thơ,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,100%,23.9°C,19.0,N/A,N/A,N/A,N/A,N/A
2025-06-03T06:01:28.402577+07:00,Cần Thơ,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,100%,23.9°C,19.0,N/A,N/A,N/A,N/A,N/A
2025-06-03T07:42:29.913474+07:00,Cần Thơ,39,/dl/web/weather/ic-w-06-rain-full.svg,1.8 km/h,100%,23.9°C,7.0,N/A,N/A,N/A,N/A,N/A
