timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-02-05T22:01:17.266247+07:00,Đà Nẵng,58,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,83%,21.0°C,13.0,N/A,N/A,N/A,N/A,N/A
2025-02-05T23:08:58.924887+07:00,Đà Nẵng,58,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,83%,21.0°C,13.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T00:01:04.819156+07:00,Đà Nẵng,58,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,83%,21.0°C,13.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T01:01:12.440109+07:00,Đà Nẵng,58,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,88%,20.0°C,13.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T02:01:14.109316+07:00,Đà Nẵng,56,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,0.0 km/h,88%,20.0°C,12.0,N/A,N/A,N/A,N/A,N/A
2025-02-06T03:01:15.733272+07:00,Đà Nẵng,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,0.0 km/h,88%,20.0°C,17.9,N/A,N/A,N/A,N/A,N/A
2025-02-06T04:01:22.913142+07:00,Đà Nẵng,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,88%,20.0°C,18.9,N/A,N/A,N/A,N/A,N/A
2025-02-06T05:01:23.354569+07:00,Đà Nẵng,66,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,94%,19.0°C,16.9,N/A,N/A,N/A,N/A,N/A
2025-02-06T06:01:26.258574+07:00,Đà Nẵng,75,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,94%,19.0°C,21.8,N/A,N/A,N/A,N/A,N/A
2025-02-06T07:35:12.769172+07:00,Đà Nẵng,88,/dl/web/weather/ic-w-09-mist-full.svg,1.8 km/h,88%,20.0°C,28.7,N/A,N/A,N/A,N/A,N/A
2025-02-06T09:08:25.549393+07:00,Đà Nẵng,125,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,78%,22.0°C,45.4,N/A,N/A,N/A,N/A,N/A
2025-02-06T10:12:01.307258+07:00,Đà Nẵng,82,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,78%,22.0°C,25.8,N/A,N/A,N/A,N/A,N/A
2025-02-06T11:01:03.453549+07:00,Đà Nẵng,82,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,78%,22.0°C,25.8,N/A,N/A,N/A,N/A,N/A
2025-02-06T12:01:14.388752+07:00,Đà Nẵng,88,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,69%,23.0°C,28.8,N/A,N/A,N/A,N/A,N/A
2025-02-06T13:01:03.147371+07:00,Đà Nẵng,86,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,57%,24.0°C,27.9,N/A,N/A,N/A,N/A,N/A
2025-02-06T14:01:36.748993+07:00,Đà Nẵng,128,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,65%,24.0°C,46.6,N/A,N/A,N/A,N/A,N/A
2025-02-06T15:10:32.267930+07:00,Đà Nẵng,99,/dl/web/weather/ic-w-02-new-clouds-full.svg,13.0 km/h,61%,24.0°C,34.8,N/A,N/A,N/A,N/A,N/A
2025-02-06T16:07:53.403960+07:00,Đà Nẵng,75,/dl/web/weather/ic-w-01-clear-sky-full.svg,14.8 km/h,64%,23.0°C,21.9,N/A,N/A,N/A,N/A,N/A
2025-02-06T17:01:27.747508+07:00,Đà Nẵng,75,/dl/web/weather/ic-w-01-clear-sky-full.svg,14.8 km/h,64%,23.0°C,21.9,N/A,N/A,N/A,N/A,N/A
2025-02-06T18:01:18.194248+07:00,Đà Nẵng,76,/dl/web/weather/ic-w-01-clear-sky-full.svg,13.0 km/h,78%,22.0°C,22.4,N/A,N/A,N/A,N/A,N/A
2025-02-06T19:13:18.060590+07:00,Đà Nẵng,163,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,73%,22.0°C,72.8,N/A,N/A,N/A,N/A,N/A
2025-02-06T20:15:07.618485+07:00,Đà Nẵng,83,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,83%,21.0°C,26.4,N/A,N/A,N/A,N/A,N/A
2025-02-06T21:01:25.082231+07:00,Đà Nẵng,83,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,83%,21.0°C,26.4,N/A,N/A,N/A,N/A,N/A
2025-02-06T22:01:07.664090+07:00,Đà Nẵng,80,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,88%,20.0°C,24.9,N/A,N/A,N/A,N/A,N/A
2025-02-06T23:01:01.179231+07:00,Đà Nẵng,75,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,88%,20.0°C,21.9,N/A,N/A,N/A,N/A,N/A
2025-02-07T00:01:09.219936+07:00,Đà Nẵng,83,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,83%,21.0°C,26.4,N/A,N/A,N/A,N/A,N/A
2025-02-07T01:10:17.990603+07:00,Đà Nẵng,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,83%,21.0°C,18.9,N/A,N/A,N/A,N/A,N/A
2025-02-07T02:01:20.662002+07:00,Đà Nẵng,74,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,83%,21.0°C,21.5,N/A,N/A,N/A,N/A,N/A
2025-02-07T03:01:04.213089+07:00,Đà Nẵng,77,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,88%,20.0°C,22.9,N/A,N/A,N/A,N/A,N/A
2025-02-07T04:01:21.298104+07:00,Đà Nẵng,83,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,88%,20.0°C,26.4,N/A,N/A,N/A,N/A,N/A
