timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-05-01T00:01:14.792253+07:00,Đà Nẵng,44,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,83%,26.1°C,8.0,10.6,N/A,38.2,N/A,0.6
2025-05-01T01:11:31.643567+07:00,Đà Nẵng,54,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,83%,26.1°C,10.8,10.2,N/A,38.8,N/A,0.7
2025-05-01T02:01:17.920805+07:00,Đà Nẵng,44,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,83%,26.1°C,8.0,10.2,N/A,38.8,N/A,0.7
2025-05-01T03:09:33.813297+07:00,Đà Nẵng,70,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,89%,25.0°C,19.4,17.7,N/A,38.8,N/A,0.7
2025-05-01T04:01:24.813661+07:00,Đà Nẵng,62,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,89%,25.0°C,15.0,17.7,N/A,38.8,N/A,0.7
2025-05-01T05:01:27.178960+07:00,Đà Nẵng,62,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,0.0 km/h,83%,25.0°C,15.0,17.5,N/A,38.9,N/A,0.6
2025-05-01T06:01:26.121661+07:00,Đà Nẵng,62,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,5.5 km/h,88%,23.9°C,15.0,17.0,N/A,38.9,N/A,0.6
2025-05-01T07:44:53.562879+07:00,Đà Nẵng,71,/dl/web/weather/ic-w-01-clear-sky-full.svg,0.0 km/h,83%,26.1°C,20.0,18.7,N/A,38.6,N/A,0.6
2025-05-01T09:40:17.951311+07:00,Đà Nẵng,81,/dl/web/weather/ic-w-02-new-clouds-full.svg,3.7 km/h,70%,28.9°C,25.0,27.4,N/A,38.4,N/A,0.7
2025-05-01T10:39:01.691056+07:00,Đà Nẵng,68,/dl/web/weather/ic-w-02-new-clouds-full.svg,5.5 km/h,62%,30.0°C,18.3,24.3,N/A,38.3,N/A,0.5
2025-05-01T11:14:44.238193+07:00,Đà Nẵng,69,/dl/web/weather/ic-w-02-new-clouds-full.svg,7.4 km/h,58%,31.1°C,19.0,22.2,N/A,38.3,N/A,0.6
2025-05-01T12:01:19.083436+07:00,Đà Nẵng,69,/dl/web/weather/ic-w-02-new-clouds-full.svg,7.4 km/h,58%,31.1°C,19.0,22.2,N/A,38.3,N/A,0.6
2025-05-01T13:13:04.965825+07:00,Đà Nẵng,113,/dl/web/weather/ic-w-02-new-clouds-full.svg,14.8 km/h,62%,31.1°C,40.5,17.0,N/A,38.8,N/A,0.6
2025-05-01T14:01:25.357200+07:00,Đà Nẵng,58,/dl/web/weather/ic-w-02-new-clouds-full.svg,14.8 km/h,62%,31.1°C,12.8,17.0,N/A,38.8,N/A,0.6
2025-05-01T15:11:49.629231+07:00,Đà Nẵng,69,/dl/web/weather/ic-w-06-rain-full.svg,16.7 km/h,62%,31.1°C,18.9,16.2,N/A,38.9,N/A,0.6
2025-05-01T16:09:10.789547+07:00,Đà Nẵng,73,/dl/web/weather/ic-w-02-new-clouds-full.svg,16.7 km/h,66%,30.0°C,20.7,16.0,N/A,38.9,N/A,0.6
2025-05-01T17:01:39.518347+07:00,Đà Nẵng,58,/dl/web/weather/ic-w-02-new-clouds-full.svg,16.7 km/h,66%,30.0°C,13.0,16.0,N/A,38.9,N/A,0.6
2025-05-01T18:01:19.156750+07:00,Đà Nẵng,56,/dl/web/weather/ic-w-02-new-clouds-full.svg,14.8 km/h,66%,28.9°C,12.0,17.1,N/A,38.7,N/A,0.7
2025-05-01T19:14:38.657809+07:00,Đà Nẵng,58,/dl/web/weather/ic-w-12-night-rain-full.svg,9.2 km/h,70%,27.8°C,13.0,17.4,N/A,38.2,N/A,0.5
2025-05-01T20:19:18.284811+07:00,Đà Nẵng,60,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,5.5 km/h,78%,27.2°C,13.8,18.5,N/A,38.1,N/A,0.6
2025-05-01T21:01:29.688242+07:00,Đà Nẵng,60,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,83%,27.2°C,13.8,18.5,N/A,38.1,N/A,0.6
2025-05-01T22:01:21.048231+07:00,Đà Nẵng,62,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,83%,27.2°C,15.0,18.1,N/A,37.8,N/A,0.6
2025-05-01T23:10:31.364638+07:00,Đà Nẵng,78,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,83%,27.2°C,23.5,16.8,N/A,38.1,N/A,0.6
2025-05-02T00:07:46.215445+07:00,Đà Nẵng,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,83%,26.1°C,16.0,16.8,N/A,38.1,N/A,0.6
2025-05-02T01:11:22.829769+07:00,Đà Nẵng,72,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,83%,26.1°C,20.6,18.0,N/A,38.8,N/A,0.7
2025-05-02T02:01:08.370303+07:00,Đà Nẵng,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,83%,26.1°C,19.0,18.0,N/A,38.8,N/A,0.7
2025-05-02T03:01:13.747314+07:00,Đà Nẵng,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,89%,25.0°C,19.0,18.4,N/A,38.6,N/A,0.7
2025-05-02T04:07:56.514139+07:00,Đà Nẵng,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,88%,23.9°C,19.0,20.1,N/A,38.8,N/A,0.6
2025-05-02T06:01:11.063732+07:00,Đà Nẵng,75,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,88%,23.9°C,22.0,19.7,N/A,38.8,N/A,0.6
2025-05-02T07:39:43.391455+07:00,Đà Nẵng,82,/dl/web/weather/ic-w-02-new-clouds-full.svg,3.7 km/h,83%,25.0°C,26.0,20.7,N/A,38.5,N/A,0.6
2025-05-02T09:24:18.759487+07:00,Đà Nẵng,76,/dl/web/weather/ic-w-02-new-clouds-full.svg,1.8 km/h,66%,28.9°C,22.4,31.6,N/A,38.3,N/A,0.7
2025-05-02T10:33:24.724681+07:00,Đà Nẵng,77,/dl/web/weather/ic-w-02-new-clouds-full.svg,3.7 km/h,62%,30.0°C,23.4,35.2,N/A,38.4,N/A,0.5
2025-05-02T11:01:27.111670+07:00,Đà Nẵng,77,/dl/web/weather/ic-w-02-new-clouds-full.svg,3.7 km/h,62%,30.0°C,23.4,35.2,N/A,38.4,N/A,0.5
2025-05-02T12:09:22.810650+07:00,Đà Nẵng,81,/dl/web/weather/ic-w-02-new-clouds-full.svg,13.0 km/h,58%,31.1°C,25.3,28.9,N/A,38.7,N/A,0.6
2025-05-02T13:01:08.587040+07:00,Đà Nẵng,71,/dl/web/weather/ic-w-02-new-clouds-full.svg,13.0 km/h,58%,31.1°C,19.7,28.9,N/A,38.7,N/A,0.6
2025-05-02T14:01:18.761182+07:00,Đà Nẵng,69,/dl/web/weather/ic-w-02-new-clouds-full.svg,14.8 km/h,55%,31.1°C,19.0,22.5,N/A,38.6,N/A,0.6
2025-05-02T15:11:44.607162+07:00,Đà Nẵng,72,/dl/web/weather/ic-w-02-new-clouds-full.svg,13.0 km/h,55%,31.1°C,20.3,17.9,N/A,38.7,N/A,0.6
2025-05-02T16:01:29.330970+07:00,Đà Nẵng,69,/dl/web/weather/ic-w-02-new-clouds-full.svg,13.0 km/h,55%,31.1°C,19.0,17.9,N/A,38.7,N/A,0.6
2025-05-02T17:08:50.897467+07:00,Đà Nẵng,76,/dl/web/weather/ic-w-02-new-clouds-full.svg,13.0 km/h,66%,28.9°C,22.6,16.8,N/A,38.8,N/A,0.7
2025-05-02T18:01:21.473311+07:00,Đà Nẵng,76,/dl/web/weather/ic-w-02-new-clouds-full.svg,13.0 km/h,66%,28.9°C,22.6,16.8,N/A,38.8,N/A,0.7
2025-05-02T19:15:24.683948+07:00,Đà Nẵng,80,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,7.4 km/h,74%,27.2°C,25.0,17.3,N/A,38.1,N/A,0.5
2025-05-02T20:20:00.366467+07:00,Đà Nẵng,73,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,83%,27.2°C,20.7,17.9,N/A,37.9,N/A,0.6
2025-05-02T21:08:24.668951+07:00,Đà Nẵng,73,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,83%,27.2°C,20.7,17.9,N/A,37.9,N/A,0.6
2025-05-02T22:08:34.149935+07:00,Đà Nẵng,68,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,83%,27.2°C,18.5,16.8,N/A,37.8,N/A,0.6
2025-05-02T23:09:52.075635+07:00,Đà Nẵng,71,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,83%,26.1°C,19.9,16.4,N/A,38.0,N/A,0.6
2025-05-03T00:01:30.837922+07:00,Đà Nẵng,58,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,5.5 km/h,89%,26.1°C,13.0,16.4,N/A,38.0,N/A,0.6
2025-05-03T01:11:26.481372+07:00,Đà Nẵng,68,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,83%,26.1°C,18.4,17.4,N/A,38.6,N/A,0.7
2025-05-03T02:01:15.790237+07:00,Đà Nẵng,78,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,83%,26.1°C,23.8,17.4,N/A,38.6,N/A,0.7
2025-05-03T03:01:12.179002+07:00,Đà Nẵng,90,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,89%,25.0°C,30.0,17.3,N/A,38.6,N/A,0.6
2025-05-03T04:01:29.675818+07:00,Đà Nẵng,80,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,3.7 km/h,88%,23.9°C,24.8,17.3,N/A,38.5,N/A,0.6
2025-05-03T05:07:51.925573+07:00,Đà Nẵng,86,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,88%,23.9°C,27.8,19.0,N/A,38.7,N/A,0.7
