timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-04-01T00:02:05.053010+07:00,Hải Dương,141,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,2.7 km/h,65%,16.1°C,52.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T01:12:07.193237+07:00,Hải Dương,141,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.6 km/h,64%,16.1°C,52.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T02:02:11.123344+07:00,Hải Dương,135,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.8 km/h,65%,16.1°C,49.2,N/A,N/A,N/A,N/A,N/A
2025-04-01T03:10:12.579755+07:00,Hải Dương,135,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.3 km/h,60%,15.0°C,49.2,N/A,N/A,N/A,N/A,N/A
2025-04-01T04:02:10.912111+07:00,Hải Dương,135,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.8 km/h,58%,15.0°C,49.2,N/A,N/A,N/A,N/A,N/A
2025-04-01T05:02:09.842888+07:00,Hải Dương,130,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.3 km/h,57%,15.0°C,47.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T06:02:04.162091+07:00,Hải Dương,130,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.3 km/h,59%,15.0°C,47.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T07:44:45.935466+07:00,Hải Dương,128,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.5 km/h,56%,16.1°C,46.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T09:30:56.830001+07:00,Hải Dương,128,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.5 km/h,56%,17.8°C,46.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T10:36:44.759626+07:00,Hải Dương,59,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.9 km/h,45%,17.8°C,13.6,24.6,43.6,2.7,1.2,2.1
2025-04-01T11:12:30.477239+07:00,Hải Dương,125,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.0 km/h,45%,17.8°C,45.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T12:01:58.015644+07:00,Hải Dương,125,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.0 km/h,44%,18.9°C,45.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T13:13:10.196737+07:00,Hải Dương,125,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.4 km/h,39%,21.1°C,45.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T14:10:05.338985+07:00,Hải Dương,124,/dl/web/weather/ic-w-02-new-clouds-full.svg,5.1 km/h,34%,22.8°C,44.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T15:12:35.916262+07:00,Hải Dương,124,/dl/web/weather/ic-w-02-new-clouds-full.svg,4.0 km/h,33%,23.9°C,44.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T16:02:03.849419+07:00,Hải Dương,124,/dl/web/weather/ic-w-02-new-clouds-full.svg,4.0 km/h,33%,23.9°C,44.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T17:02:24.212497+07:00,Hải Dương,128,/dl/web/weather/ic-w-02-new-clouds-full.svg,2.7 km/h,34%,23.9°C,46.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T18:02:03.353700+07:00,Hải Dương,128,/dl/web/weather/ic-w-02-new-clouds-full.svg,9.2 km/h,43%,22.2°C,46.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T19:15:55.009418+07:00,Hải Dương,128,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,9.2 km/h,44%,22.2°C,46.4,N/A,N/A,N/A,N/A,N/A
2025-04-01T20:21:36.203195+07:00,Hải Dương,151,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,16.3 km/h,59%,18.9°C,56.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T21:02:10.914103+07:00,Hải Dương,151,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.3 km/h,65%,18.9°C,56.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T22:09:19.561338+07:00,Hải Dương,151,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.8 km/h,67%,17.8°C,56.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T23:02:13.464427+07:00,Hải Dương,157,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.8 km/h,67%,17.8°C,64.2,N/A,N/A,N/A,N/A,N/A
2025-04-02T00:02:14.490184+07:00,Hải Dương,157,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.0 km/h,70%,17.2°C,64.2,N/A,N/A,N/A,N/A,N/A
2025-04-02T01:11:16.188955+07:00,Hải Dương,157,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.2 km/h,74%,16.1°C,64.2,N/A,N/A,N/A,N/A,N/A
2025-04-02T02:02:16.653867+07:00,Hải Dương,161,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.2 km/h,74%,16.1°C,70.2,N/A,N/A,N/A,N/A,N/A
2025-04-02T03:02:19.265289+07:00,Hải Dương,161,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.2 km/h,75%,16.1°C,70.2,N/A,N/A,N/A,N/A,N/A
2025-04-02T04:01:53.310483+07:00,Hải Dương,161,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.3 km/h,73%,16.1°C,70.2,N/A,N/A,N/A,N/A,N/A
2025-04-02T05:02:13.746996+07:00,Hải Dương,166,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.5 km/h,76%,15.0°C,76.8,N/A,N/A,N/A,N/A,N/A
2025-04-02T06:02:06.101772+07:00,Hải Dương,166,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,74%,15.0°C,76.8,N/A,N/A,N/A,N/A,N/A
2025-04-02T07:39:19.052963+07:00,Hải Dương,162,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.8 km/h,67%,17.2°C,71.5,N/A,N/A,N/A,N/A,N/A
2025-04-02T09:20:31.254048+07:00,Hải Dương,162,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.9 km/h,52%,21.1°C,71.5,N/A,N/A,N/A,N/A,N/A
2025-04-02T10:26:15.666222+07:00,Hải Dương,162,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.1 km/h,45%,22.8°C,71.5,N/A,N/A,N/A,N/A,N/A
2025-04-02T11:10:59.526123+07:00,Hải Dương,158,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.4 km/h,40%,23.9°C,65.4,N/A,N/A,N/A,N/A,N/A
2025-04-02T12:02:00.823432+07:00,Hải Dương,158,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.3 km/h,39%,25.0°C,65.4,N/A,N/A,N/A,N/A,N/A
