timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-03-01T00:02:21.552213+07:00,Hải Dương,93,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.8 km/h,96%,18.9°C,31.9,49.8,43.1,N/A,1.2,2.0
2025-03-01T01:11:20.407898+07:00,Hải Dương,90,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,97%,18.9°C,30.2,44.4,30.5,N/A,1.3,2.0
2025-03-01T02:02:08.670926+07:00,Hải Dương,88,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,97%,18.9°C,29.2,42.1,29.4,N/A,1.4,2.0
2025-03-01T03:10:59.186280+07:00,Hải Dương,88,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,94%,18.9°C,29.2,42.1,29.4,N/A,1.4,2.0
2025-03-01T04:02:09.728048+07:00,Hải Dương,91,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,94%,18.9°C,30.5,43.4,N/A,N/A,1.6,1.9
2025-03-01T05:02:12.015226+07:00,Hải Dương,90,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.9 km/h,93%,18.9°C,30.1,44.6,N/A,N/A,1.3,1.9
2025-03-01T06:01:41.042575+07:00,Hải Dương,91,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.9 km/h,94%,18.9°C,30.5,47.3,N/A,N/A,1.1,1.9
2025-03-01T09:18:33.999278+07:00,Hải Dương,104,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.9 km/h,82%,22.2°C,36.8,58.0,N/A,N/A,1.6,3.3
2025-03-01T10:22:57.048954+07:00,Hải Dương,104,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.8 km/h,76%,22.8°C,36.8,58.0,N/A,N/A,1.6,3.3
2025-03-01T11:09:53.622127+07:00,Hải Dương,104,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.9 km/h,70%,25.0°C,36.8,58.0,N/A,N/A,1.6,3.3
2025-03-01T12:02:05.316703+07:00,Hải Dương,104,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,20.9 km/h,70%,25.0°C,36.8,58.0,29.4,N/A,1.6,3.3
2025-03-01T13:10:39.899201+07:00,Hải Dương,79,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,19.5 km/h,69%,25.0°C,24.0,42.7,34.7,N/A,1.4,2.1
2025-03-01T14:01:53.079446+07:00,Hải Dương,73,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,19.5 km/h,69%,25.0°C,21.1,37.0,45.3,N/A,1.3,1.9
2025-03-01T15:10:00.280059+07:00,Hải Dương,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,24.8 km/h,64%,26.1°C,19.7,33.7,43.7,N/A,N/A,N/A
2025-03-01T16:01:52.050142+07:00,Hải Dương,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,24.8 km/h,64%,26.1°C,19.2,32.9,33.0,N/A,1.3,1.9
2025-03-01T17:02:15.455370+07:00,Hải Dương,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,28.3 km/h,70%,25.0°C,16.2,28.1,N/A,N/A,N/A,N/A
2025-03-01T18:01:55.186068+07:00,Hải Dương,65,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,25.4 km/h,79%,22.8°C,16.8,31.0,20.3,N/A,1.3,1.9
2025-03-01T19:12:27.074973+07:00,Hải Dương,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,84%,21.1°C,17.7,33.9,28.8,N/A,1.6,2.1
2025-03-01T20:13:22.715619+07:00,Hải Dương,73,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,19.5 km/h,86%,21.1°C,21.2,42.0,34.7,N/A,1.1,2.1
2025-03-01T21:01:44.557970+07:00,Hải Dương,82,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,19.5 km/h,86%,21.1°C,25.8,47.9,37.4,N/A,1.2,2.0
2025-03-01T22:02:13.065606+07:00,Hải Dương,86,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.4 km/h,86%,20.0°C,28.0,47.1,43.7,N/A,1.6,2.0
2025-03-01T23:08:19.835173+07:00,Hải Dương,86,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.1 km/h,88%,20.0°C,28.0,47.1,43.7,N/A,1.6,2.0
2025-03-02T01:09:38.504704+07:00,Hải Dương,72,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.7 km/h,88%,20.0°C,20.4,29.7,46.5,N/A,1.1,1.8
2025-03-02T02:02:00.489482+07:00,Hải Dương,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.7 km/h,88%,20.0°C,16.2,25.7,36.0,N/A,1.1,1.8
2025-03-02T03:02:00.657612+07:00,Hải Dương,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.4 km/h,89%,20.0°C,16.3,24.3,30.8,N/A,1.4,1.8
2025-03-02T04:02:02.250187+07:00,Hải Dương,66,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.3 km/h,91%,20.0°C,17.1,27.0,N/A,N/A,1.0,1.8
2025-03-02T05:02:00.166806+07:00,Hải Dương,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.5 km/h,92%,21.1°C,18.5,29.0,N/A,N/A,1.2,1.8
2025-03-02T06:02:03.123065+07:00,Hải Dương,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.0 km/h,91%,21.1°C,18.4,29.4,N/A,N/A,1.1,1.8
2025-03-02T07:39:56.210404+07:00,Hải Dương,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.0 km/h,89%,21.1°C,18.4,29.4,N/A,N/A,1.1,1.8
2025-03-02T09:17:24.233634+07:00,Hải Dương,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,17.1 km/h,81%,22.2°C,18.4,29.4,30.8,N/A,1.1,1.8
2025-03-02T10:19:32.035968+07:00,Hải Dương,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.2 km/h,75%,23.9°C,18.4,29.4,N/A,N/A,1.1,1.8
2025-03-02T11:09:37.123787+07:00,Hải Dương,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.7 km/h,74%,23.9°C,18.4,29.4,N/A,N/A,1.1,1.8
2025-03-02T12:01:53.445858+07:00,Hải Dương,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.7 km/h,74%,23.9°C,18.4,29.4,N/A,N/A,1.1,1.8
2025-03-02T13:10:49.487803+07:00,Hải Dương,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,21.1 km/h,64%,27.2°C,18.4,29.4,30.8,N/A,1.1,1.8
2025-03-02T14:01:58.562638+07:00,Hải Dương,96,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,21.1 km/h,64%,27.2°C,33.5,N/A,N/A,N/A,N/A,N/A
2025-03-02T15:01:54.733123+07:00,Hải Dương,96,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,23.3 km/h,58%,27.8°C,33.5,N/A,N/A,N/A,N/A,N/A
2025-03-02T16:02:57.766613+07:00,Hải Dương,96,/dl/web/weather/ic-w-01-clear-sky-full.svg,23.8 km/h,56%,28.9°C,33.5,N/A,N/A,N/A,N/A,N/A
2025-03-02T17:02:01.399427+07:00,Hải Dương,86,/dl/web/weather/ic-w-01-clear-sky-full.svg,24.9 km/h,59%,27.8°C,28.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T18:02:11.546029+07:00,Hải Dương,86,/dl/web/weather/ic-w-01-clear-sky-full.svg,22.5 km/h,65%,26.1°C,28.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T19:13:03.192568+07:00,Hải Dương,86,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,16.9 km/h,82%,22.8°C,28.0,N/A,N/A,N/A,N/A,N/A
2025-03-02T20:12:55.094373+07:00,Hải Dương,75,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,15.4 km/h,87%,22.2°C,22.3,N/A,N/A,N/A,N/A,N/A
2025-03-02T21:02:03.063616+07:00,Hải Dương,75,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,15.4 km/h,87%,22.2°C,22.3,N/A,N/A,N/A,N/A,N/A
