timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-05-01T00:01:47.292660+07:00,Hải Dương,96,/dl/web/weather/ic-w-12-night-rain-full.svg,7.7 km/h,89%,25.0°C,33.2,39.8,N/A,N/A,N/A,N/A
2025-05-01T01:12:04.932440+07:00,Hải Dương,90,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,90%,25.0°C,30.1,35.0,N/A,N/A,1.1,2.9
2025-05-01T02:01:51.451182+07:00,Hải Dương,84,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.6 km/h,90%,25.0°C,26.6,32.5,N/A,N/A,1.7,2.7
2025-05-01T03:10:09.223549+07:00,Hải Dương,82,/dl/web/weather/ic-w-12-night-rain-full.svg,4.3 km/h,87%,25.0°C,25.6,31.8,N/A,N/A,1.1,2.7
2025-05-01T04:02:00.110295+07:00,Hải Dương,74,/dl/web/weather/ic-w-12-night-rain-full.svg,2.1 km/h,88%,25.0°C,21.8,30.5,N/A,N/A,1.1,2.7
2025-05-01T05:02:03.143262+07:00,Hải Dương,74,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,2.4 km/h,89%,25.0°C,21.5,30.4,N/A,N/A,1.1,2.7
2025-05-01T06:02:00.204259+07:00,Hải Dương,78,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,91%,25.0°C,23.7,31.0,N/A,N/A,1.1,2.6
2025-05-01T07:45:27.789362+07:00,Hải Dương,85,/dl/web/weather/ic-w-06-rain-full.svg,10.0 km/h,93%,25.0°C,27.1,33.8,32.4,N/A,1.1,3.1
2025-05-01T09:40:51.765670+07:00,Hải Dương,65,/dl/web/weather/ic-w-06-rain-full.svg,15.1 km/h,97%,23.9°C,16.7,30.3,84.4,N/A,1.1,2.8
2025-05-01T10:39:35.954490+07:00,Hải Dương,75,/dl/web/weather/ic-w-06-rain-full.svg,11.1 km/h,95%,22.8°C,22.0,28.1,103.1,N/A,1.1,2.8
2025-05-01T11:15:19.054837+07:00,Hải Dương,48,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.1 km/h,94%,22.2°C,N/A,20.9,118.4,N/A,N/A,N/A
2025-05-01T12:01:53.347771+07:00,Hải Dương,48,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.3 km/h,91%,22.8°C,N/A,20.9,118.4,N/A,N/A,N/A
2025-05-01T13:13:39.293376+07:00,Hải Dương,48,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.9 km/h,87%,23.9°C,N/A,17.5,118.4,N/A,N/A,N/A
2025-05-01T14:01:58.919949+07:00,Hải Dương,56,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.0 km/h,81%,23.9°C,12.0,23.2,64.3,N/A,1.1,3.0
2025-05-01T15:12:22.179161+07:00,Hải Dương,62,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.4 km/h,78%,25.0°C,14.8,25.6,62.4,N/A,1.3,2.8
2025-05-01T16:09:43.368049+07:00,Hải Dương,61,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.4 km/h,79%,23.9°C,14.7,25.6,87.4,N/A,1.6,2.8
2025-05-01T17:02:12.830255+07:00,Hải Dương,63,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.1 km/h,77%,25.0°C,15.8,22.6,89.2,N/A,1.3,2.8
2025-05-01T18:01:53.495607+07:00,Hải Dương,63,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.7 km/h,86%,25.0°C,15.7,21.5,119.0,N/A,1.3,3.1
2025-05-01T19:15:14.874609+07:00,Hải Dương,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.4 km/h,82%,23.9°C,19.3,29.8,70.2,N/A,1.1,2.9
2025-05-01T20:19:53.774016+07:00,Hải Dương,85,/dl/web/weather/ic-w-12-night-rain-full.svg,4.8 km/h,85%,25.0°C,27.1,39.1,61.3,N/A,1.0,2.9
2025-05-01T21:02:04.191586+07:00,Hải Dương,85,/dl/web/weather/ic-w-12-night-rain-full.svg,4.0 km/h,84%,23.9°C,27.1,39.1,61.3,N/A,1.0,2.9
2025-05-01T22:01:54.940628+07:00,Hải Dương,90,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,84%,22.8°C,30.4,43.7,81.7,N/A,1.0,2.9
2025-05-01T23:11:04.997445+07:00,Hải Dương,94,/dl/web/weather/ic-w-12-night-rain-full.svg,0.5 km/h,87%,22.8°C,32.2,44.8,93.5,N/A,1.4,3.0
