timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-04-01T00:01:26.205031+07:00,Hải Phòng,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,72%,16.1°C,19.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T01:11:33.575192+07:00,Hải Phòng,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,63%,16.1°C,18.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T02:01:36.404340+07:00,Hải Phòng,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,63%,16.1°C,17.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T03:09:39.783132+07:00,Hải Phòng,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,63%,15.0°C,19.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T04:01:34.250296+07:00,Hải Phòng,72,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,63%,15.0°C,20.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T05:01:34.578400+07:00,Hải Phòng,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,59%,15.0°C,19.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T06:01:31.717731+07:00,Hải Phòng,68,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,59%,15.0°C,18.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T07:44:13.024138+07:00,Hải Phòng,66,/dl/web/weather/ic-w-01-clear-sky-full.svg,3.7 km/h,55%,16.1°C,17.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T09:30:18.929982+07:00,Hải Phòng,80,/dl/web/weather/ic-w-01-clear-sky-full.svg,3.7 km/h,52%,17.8°C,24.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T10:36:10.847406+07:00,Hải Phòng,74,/dl/web/weather/ic-w-01-clear-sky-full.svg,7.4 km/h,34%,18.9°C,21.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T11:11:58.013370+07:00,Hải Phòng,86,/dl/web/weather/ic-w-01-clear-sky-full.svg,5.5 km/h,37%,20.0°C,28.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T12:01:25.964408+07:00,Hải Phòng,73,/dl/web/weather/ic-w-01-clear-sky-full.svg,7.4 km/h,35%,22.2°C,21.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T13:12:37.849321+07:00,Hải Phòng,84,/dl/web/weather/ic-w-01-clear-sky-full.svg,9.2 km/h,35%,22.2°C,27.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T14:09:30.876150+07:00,Hải Phòng,84,/dl/web/weather/ic-w-01-clear-sky-full.svg,11.1 km/h,29%,23.9°C,27.0,N/A,N/A,N/A,N/A,N/A
