timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-03-01T00:01:36.395032+07:00,Hải Phòng,110,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.4 km/h,96%,18.9°C,39.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T01:10:42.190739+07:00,Hải Phòng,110,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.7 km/h,97%,18.9°C,39.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T02:01:31.873474+07:00,Hải Phòng,97,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.7 km/h,97%,18.9°C,34.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T03:09:47.195412+07:00,Hải Phòng,99,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.6 km/h,92%,18.9°C,35.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T04:01:27.067599+07:00,Hải Phòng,107,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.6 km/h,92%,18.9°C,38.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T05:01:31.932163+07:00,Hải Phòng,105,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.8 km/h,92%,18.9°C,37.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T06:01:03.010719+07:00,Hải Phòng,97,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.8 km/h,92%,18.9°C,34.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T09:17:59.408150+07:00,Hải Phòng,106,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.7 km/h,82%,22.2°C,37.5,N/A,N/A,N/A,N/A,N/A
2025-03-01T10:22:16.654408+07:00,Hải Phòng,82,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.1 km/h,81%,22.2°C,26.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T11:09:15.496971+07:00,Hải Phòng,82,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.0 km/h,75%,23.9°C,26.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T12:01:26.088588+07:00,Hải Phòng,81,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.0 km/h,75%,23.9°C,25.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T13:09:58.284687+07:00,Hải Phòng,77,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,19.6 km/h,73%,23.9°C,23.0,N/A,N/A,N/A,N/A,N/A
2025-03-01T14:01:09.535552+07:00,Hải Phòng,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,19.6 km/h,73%,23.9°C,19.0,N/A,N/A,N/A,N/A,N/A
