timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-05-01T00:01:19.527027+07:00,Hải Phòng,90,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,89%,25.0°C,30.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T01:11:36.424149+07:00,Hải Phòng,99,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,89%,25.0°C,35.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T02:01:22.769686+07:00,Hải Phòng,93,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,89%,25.0°C,31.5,N/A,N/A,N/A,N/A,N/A
2025-05-01T03:09:38.980282+07:00,Hải Phòng,77,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,83%,25.0°C,23.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T04:01:30.318621+07:00,Hải Phòng,85,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,83%,25.0°C,27.5,N/A,N/A,N/A,N/A,N/A
2025-05-01T05:01:32.133523+07:00,Hải Phòng,78,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,3.7 km/h,83%,25.0°C,23.5,N/A,N/A,N/A,N/A,N/A
2025-05-01T06:01:30.987499+07:00,Hải Phòng,74,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,3.7 km/h,83%,25.0°C,21.5,N/A,N/A,N/A,N/A,N/A
2025-05-01T07:44:58.433735+07:00,Hải Phòng,80,/dl/web/weather/ic-w-02-new-clouds-full.svg,3.7 km/h,89%,25.0°C,24.5,N/A,N/A,N/A,N/A,N/A
2025-05-01T09:40:22.783613+07:00,Hải Phòng,91,/dl/web/weather/ic-w-06-rain-full.svg,7.4 km/h,94%,25.0°C,30.5,N/A,N/A,N/A,N/A,N/A
2025-05-01T10:39:06.675584+07:00,Hải Phòng,75,/dl/web/weather/ic-w-06-rain-full.svg,20.4 km/h,94%,22.2°C,22.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T11:14:49.265659+07:00,Hải Phòng,56,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,94%,22.8°C,12.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T12:01:23.930026+07:00,Hải Phòng,56,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,94%,22.8°C,12.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T13:13:09.957018+07:00,Hải Phòng,56,/dl/web/weather/ic-w-01-clear-sky-full.svg,9.2 km/h,74%,27.2°C,12.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T14:01:30.298443+07:00,Hải Phòng,57,/dl/web/weather/ic-w-01-clear-sky-full.svg,9.2 km/h,74%,27.2°C,12.5,N/A,N/A,N/A,N/A,N/A
2025-05-01T15:11:54.247331+07:00,Hải Phòng,62,/dl/web/weather/ic-w-02-new-clouds-full.svg,11.1 km/h,58%,30.0°C,15.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T16:09:15.552205+07:00,Hải Phòng,59,/dl/web/weather/ic-w-02-new-clouds-full.svg,9.2 km/h,62%,28.9°C,13.5,N/A,N/A,N/A,N/A,N/A
2025-05-01T17:01:44.304846+07:00,Hải Phòng,60,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,62%,30.0°C,14.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T18:01:23.782813+07:00,Hải Phòng,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,62%,30.0°C,16.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T19:14:43.589753+07:00,Hải Phòng,72,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,9.2 km/h,69%,27.2°C,20.5,N/A,N/A,N/A,N/A,N/A
2025-05-01T20:19:23.223861+07:00,Hải Phòng,72,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,11.1 km/h,83%,26.1°C,20.5,N/A,N/A,N/A,N/A,N/A
2025-05-01T21:01:35.224462+07:00,Hải Phòng,72,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,83%,26.1°C,20.5,N/A,N/A,N/A,N/A,N/A
2025-05-01T22:01:25.858804+07:00,Hải Phòng,73,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,83%,26.1°C,21.0,N/A,N/A,N/A,N/A,N/A
2025-05-01T23:10:36.170675+07:00,Hải Phòng,102,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,89%,25.0°C,36.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T00:07:51.258765+07:00,Hải Phòng,81,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,89%,25.0°C,25.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T01:11:27.756507+07:00,Hải Phòng,90,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,94%,23.9°C,30.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T02:01:12.901506+07:00,Hải Phòng,82,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,94%,23.9°C,25.5,N/A,N/A,N/A,N/A,N/A
2025-05-02T03:01:18.731792+07:00,Hải Phòng,79,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,3.7 km/h,94%,23.9°C,24.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T04:08:01.632148+07:00,Hải Phòng,83,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,88%,23.9°C,26.5,N/A,N/A,N/A,N/A,N/A
2025-05-02T05:01:42.673690+07:00,Hải Phòng,89,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,94%,22.8°C,29.5,N/A,N/A,N/A,N/A,N/A
2025-05-02T06:01:15.710479+07:00,Hải Phòng,107,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,94%,22.8°C,38.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T07:39:48.162018+07:00,Hải Phòng,134,/dl/web/weather/ic-w-02-new-clouds-full.svg,1.8 km/h,88%,23.9°C,49.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T09:24:23.839039+07:00,Hải Phòng,147,/dl/web/weather/ic-w-02-new-clouds-full.svg,3.7 km/h,70%,27.8°C,54.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T10:33:29.251607+07:00,Hải Phòng,124,/dl/web/weather/ic-w-01-clear-sky-full.svg,5.5 km/h,70%,27.8°C,45.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T11:01:32.738497+07:00,Hải Phòng,124,/dl/web/weather/ic-w-01-clear-sky-full.svg,5.5 km/h,70%,27.8°C,45.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T12:09:27.514638+07:00,Hải Phòng,81,/dl/web/weather/ic-w-02-new-clouds-full.svg,11.1 km/h,55%,31.1°C,25.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T13:01:13.874548+07:00,Hải Phòng,80,/dl/web/weather/ic-w-02-new-clouds-full.svg,11.1 km/h,55%,31.1°C,24.5,N/A,N/A,N/A,N/A,N/A
2025-05-02T14:01:24.255167+07:00,Hải Phòng,82,/dl/web/weather/ic-w-02-new-clouds-full.svg,14.8 km/h,55%,31.1°C,25.5,N/A,N/A,N/A,N/A,N/A
2025-05-02T15:11:49.593823+07:00,Hải Phòng,81,/dl/web/weather/ic-w-01-clear-sky-full.svg,18.5 km/h,66%,28.9°C,25.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T16:01:34.113231+07:00,Hải Phòng,82,/dl/web/weather/ic-w-01-clear-sky-full.svg,18.5 km/h,66%,28.9°C,26.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T17:08:55.683647+07:00,Hải Phòng,85,/dl/web/weather/ic-w-01-clear-sky-full.svg,18.5 km/h,70%,27.8°C,27.5,N/A,N/A,N/A,N/A,N/A
2025-05-02T18:01:26.187347+07:00,Hải Phòng,78,/dl/web/weather/ic-w-01-clear-sky-full.svg,18.5 km/h,70%,27.8°C,23.5,N/A,N/A,N/A,N/A,N/A
2025-05-02T19:15:29.502962+07:00,Hải Phòng,75,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,13.0 km/h,78%,26.1°C,22.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T20:20:05.681241+07:00,Hải Phòng,79,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,78%,26.1°C,24.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T21:08:30.056079+07:00,Hải Phòng,79,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,11.1 km/h,83%,26.1°C,24.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T22:08:39.936396+07:00,Hải Phòng,84,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,83%,26.1°C,27.0,N/A,N/A,N/A,N/A,N/A
2025-05-02T23:09:56.806423+07:00,Hải Phòng,97,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,7.4 km/h,89%,25.0°C,34.0,N/A,N/A,N/A,N/A,N/A
2025-05-03T00:01:35.707567+07:00,Hải Phòng,89,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,7.4 km/h,89%,25.0°C,29.5,N/A,N/A,N/A,N/A,N/A
2025-05-03T01:11:31.163648+07:00,Hải Phòng,91,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,89%,25.0°C,30.5,N/A,N/A,N/A,N/A,N/A
2025-05-03T02:01:21.070996+07:00,Hải Phòng,94,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,89%,25.0°C,32.0,N/A,N/A,N/A,N/A,N/A
2025-05-03T03:01:17.027468+07:00,Hải Phòng,92,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,5.5 km/h,94%,25.0°C,31.0,N/A,N/A,N/A,N/A,N/A
2025-05-03T04:01:34.885149+07:00,Hải Phòng,81,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,89%,25.0°C,25.0,N/A,N/A,N/A,N/A,N/A
2025-05-03T05:07:56.650154+07:00,Hải Phòng,71,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,94%,25.0°C,20.0,N/A,N/A,N/A,N/A,N/A
2025-05-03T06:01:09.678066+07:00,Hải Phòng,70,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,94%,25.0°C,19.5,N/A,N/A,N/A,N/A,N/A
