timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-04-01T00:01:08.766681+07:00,Hà Nội,92,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.4 km/h,61%,16.1°C,31.0,100.3,12.2,86.0,0.0,0.8
2025-04-01T01:11:17.406708+07:00,Hà Nội,97,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.8 km/h,64%,15.0°C,34.0,94.4,12.2,84.4,0.0,0.6
2025-04-01T02:01:19.220588+07:00,Hà Nội,106,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.8 km/h,64%,15.0°C,37.5,71.0,17.2,85.8,1.7,0.2
2025-04-01T03:09:22.067598+07:00,Hà Nội,91,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.3 km/h,63%,15.0°C,30.8,69.6,9.5,85.0,2.4,0.2
2025-04-01T04:01:16.764998+07:00,Hà Nội,94,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.3 km/h,63%,15.0°C,32.0,68.4,11.8,85.3,1.6,0.1
2025-04-01T05:01:18.176801+07:00,Hà Nội,97,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.0 km/h,60%,15.0°C,34.0,66.3,11.8,84.0,2.4,0.1
2025-04-01T06:01:13.951163+07:00,Hà Nội,108,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.8 km/h,63%,15.0°C,38.5,62.2,11.5,85.0,1.3,0.2
2025-04-01T07:43:55.611605+07:00,Hà Nội,124,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.3 km/h,58%,15.0°C,45.0,53.0,11.0,84.5,1.3,0.4
2025-04-01T09:30:01.935024+07:00,Hà Nội,147,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.9 km/h,55%,17.2°C,54.0,61.0,5.0,84.9,2.0,0.9
2025-04-01T10:35:54.022532+07:00,Hà Nội,144,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.5 km/h,41%,18.9°C,53.0,77.0,9.7,87.1,1.4,0.9
2025-04-01T11:11:41.171284+07:00,Hà Nội,153,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.5 km/h,48%,18.9°C,58.0,100.9,9.4,86.3,2.5,1.0
2025-04-01T12:01:08.150408+07:00,Hà Nội,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.5 km/h,48%,18.9°C,56.8,108.1,15.6,87.1,2.0,1.2
2025-04-01T13:12:20.703206+07:00,Hà Nội,136,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.1 km/h,41%,21.1°C,49.7,113.5,13.4,88.7,2.5,1.0
2025-04-01T14:09:12.797082+07:00,Hà Nội,118,/dl/web/weather/ic-w-02-new-clouds-full.svg,10.5 km/h,40%,21.1°C,42.5,100.1,22.9,84.8,2.0,1.1
2025-04-01T15:11:45.138170+07:00,Hà Nội,155,/dl/web/weather/ic-w-02-new-clouds-full.svg,8.0 km/h,42%,22.2°C,61.5,99.2,21.9,90.8,2.9,0.7
2025-04-01T16:01:12.004699+07:00,Hà Nội,155,/dl/web/weather/ic-w-02-new-clouds-full.svg,8.0 km/h,42%,22.2°C,61.0,90.2,27.7,86.7,2.0,0.7
2025-04-01T17:01:29.452470+07:00,Hà Nội,155,/dl/web/weather/ic-w-02-new-clouds-full.svg,5.5 km/h,43%,22.2°C,60.6,93.6,23.7,90.2,2.4,0.7
2025-04-01T18:01:12.195977+07:00,Hà Nội,154,/dl/web/weather/ic-w-02-new-clouds-full.svg,3.4 km/h,43%,21.1°C,60.0,94.5,23.5,87.2,1.2,1.1
2025-04-01T19:15:04.127066+07:00,Hà Nội,153,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,4.0 km/h,48%,21.1°C,58.0,99.2,23.7,91.8,2.5,1.2
2025-04-01T20:20:47.436272+07:00,Hà Nội,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.6 km/h,50%,21.1°C,56.5,96.2,16.4,88.9,1.4,2.0
2025-04-01T21:01:19.897209+07:00,Hà Nội,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.6 km/h,50%,20.0°C,56.5,114.2,8.1,89.9,2.9,3.3
2025-04-01T22:08:28.480637+07:00,Hà Nội,147,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.6 km/h,56%,20.0°C,54.0,151.1,8.7,89.8,2.2,3.7
2025-04-01T23:01:17.328448+07:00,Hà Nội,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.6 km/h,55%,20.0°C,57.0,201.0,8.8,89.4,3.4,3.7
2025-04-02T00:01:21.939102+07:00,Hà Nội,155,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.6 km/h,60%,20.0°C,61.2,241.0,10.2,91.0,2.7,3.5
2025-04-02T01:10:24.673463+07:00,Hà Nội,184,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,9.7 km/h,66%,20.0°C,103.0,243.7,10.1,91.8,3.4,2.6
2025-04-02T02:01:20.764968+07:00,Hà Nội,183,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,9.7 km/h,62%,18.9°C,101.5,235.0,10.1,91.9,3.4,2.6
2025-04-02T03:01:28.976155+07:00,Hà Nội,177,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.4 km/h,66%,17.8°C,92.0,224.3,9.5,90.6,0.9,1.3
2025-04-02T04:01:04.256446+07:00,Hà Nội,170,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.6 km/h,68%,17.8°C,82.0,208.9,16.1,91.0,0.4,1.0
2025-04-02T05:01:13.294238+07:00,Hà Nội,167,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.8 km/h,70%,17.2°C,78.5,208.9,16.1,89.8,0.4,1.0
2025-04-02T06:01:16.690937+07:00,Hà Nội,167,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.5 km/h,71%,17.2°C,79.0,208.9,16.1,89.8,0.4,1.0
2025-04-02T07:38:30.804744+07:00,Hà Nội,165,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,2.3 km/h,67%,17.8°C,76.0,138.6,6.0,88.2,0.3,0.8
2025-04-02T09:19:37.847620+07:00,Hà Nội,172,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.1 km/h,62%,17.8°C,85.0,137.9,9.0,89.9,0.3,2.2
2025-04-02T10:25:24.933665+07:00,Hà Nội,180,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.3 km/h,60%,18.9°C,97.4,157.8,14.7,90.8,0.3,2.3
2025-04-02T11:10:08.360930+07:00,Hà Nội,177,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.1 km/h,55%,20.0°C,93.0,158.9,14.8,92.6,0.6,1.3
2025-04-02T12:01:12.144133+07:00,Hà Nội,182,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.6 km/h,46%,21.1°C,100.0,154.6,18.4,92.9,0.3,1.2
2025-04-02T13:01:17.964626+07:00,Hà Nội,182,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.6 km/h,51%,21.1°C,100.0,168.7,22.1,94.3,0.6,1.3
2025-04-02T14:08:39.266147+07:00,Hà Nội,176,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,43%,22.8°C,91.7,168.7,22.1,94.3,0.6,1.3
2025-04-02T15:11:23.580511+07:00,Hà Nội,176,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.1 km/h,40%,25.0°C,91.7,168.7,22.1,94.3,0.6,1.3
2025-04-02T16:08:43.504573+07:00,Hà Nội,176,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.0 km/h,40%,23.9°C,91.7,168.7,22.1,94.3,0.6,1.3
2025-04-02T17:08:50.472705+07:00,Hà Nội,176,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.3 km/h,40%,23.9°C,91.7,168.7,22.1,94.3,0.6,1.3
2025-04-02T18:01:04.751674+07:00,Hà Nội,161,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.3 km/h,40%,23.9°C,70.0,137.4,37.8,91.2,0.7,1.1
2025-04-02T19:14:41.985701+07:00,Hà Nội,162,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.0 km/h,44%,22.2°C,71.0,123.8,37.8,93.0,0.7,1.1
2025-04-02T20:19:33.846395+07:00,Hà Nội,170,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,18.3 km/h,48%,22.2°C,82.5,123.0,37.8,92.0,0.7,1.1
2025-04-02T21:01:11.511840+07:00,Hà Nội,170,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,18.3 km/h,48%,22.2°C,83.0,123.0,11.4,100.9,0.3,3.3
2025-04-02T22:08:17.643859+07:00,Hà Nội,180,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,16.4 km/h,54%,18.9°C,97.0,123.0,10.5,98.8,0.6,4.9
2025-04-02T23:01:25.952499+07:00,Hà Nội,183,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,16.4 km/h,54%,18.9°C,101.0,123.0,8.3,100.3,1.4,5.2
2025-04-03T00:01:09.822739+07:00,Hà Nội,178,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,14.0 km/h,56%,21.1°C,94.5,123.0,8.3,97.9,1.4,5.2
2025-04-03T01:11:35.084235+07:00,Hà Nội,151,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,11.7 km/h,59%,20.0°C,56.0,123.0,17.6,92.9,1.0,2.1
2025-04-03T02:00:59.804431+07:00,Hà Nội,152,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,11.7 km/h,59%,20.0°C,57.2,87.1,15.7,90.3,0.1,1.2
2025-04-03T03:08:49.583941+07:00,Hà Nội,134,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,61%,18.9°C,49.0,105.4,19.1,89.9,0.1,0.8
2025-04-03T04:00:55.395826+07:00,Hà Nội,144,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,61%,18.9°C,53.0,90.9,11.7,89.2,0.0,0.9
2025-04-03T05:01:03.206738+07:00,Hà Nội,153,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.6 km/h,62%,18.9°C,59.0,86.3,16.0,88.8,0.0,0.9
2025-04-03T06:01:23.404768+07:00,Hà Nội,155,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,6.0 km/h,63%,17.2°C,60.5,98.0,12.1,89.3,0.0,0.9
2025-04-03T07:37:46.067631+07:00,Hà Nội,158,/dl/web/weather/ic-w-01-clear-sky-full.svg,4.8 km/h,59%,18.9°C,66.0,89.3,9.9,88.2,0.0,0.7
2025-04-03T09:18:54.326551+07:00,Hà Nội,157,/dl/web/weather/ic-w-02-new-clouds-full.svg,8.5 km/h,42%,21.1°C,64.8,118.5,12.1,90.3,0.0,1.7
2025-04-03T10:24:45.727651+07:00,Hà Nội,141,/dl/web/weather/ic-w-02-new-clouds-full.svg,10.3 km/h,37%,22.2°C,51.6,131.9,12.1,93.0,0.0,2.2
2025-04-03T11:10:23.377854+07:00,Hà Nội,148,/dl/web/weather/ic-w-02-new-clouds-full.svg,11.6 km/h,43%,23.9°C,54.5,139.5,16.5,95.6,0.1,2.2
