timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-04-01T00:01:14.372437+07:00,Hồ Chí Minh,99,/dl/web/weather/ic-w-12-night-rain-full.svg,7.4 km/h,78%,27.8°C,34.8,N/A,N/A,N/A,N/A,N/A
2025-04-01T01:11:22.807075+07:00,Hồ Chí Minh,128,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,79%,27.8°C,46.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T02:01:25.037227+07:00,Hồ Chí Minh,132,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,80%,27.2°C,48.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T03:09:27.506544+07:00,Hồ Chí Minh,120,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,81%,27.2°C,43.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T04:01:22.948066+07:00,Hồ Chí Minh,121,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,81%,27.2°C,43.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T05:01:23.677706+07:00,Hồ Chí Minh,116,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,80%,27.2°C,41.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T06:01:19.650274+07:00,Hồ Chí Minh,82,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,79%,27.2°C,26.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T07:44:01.263835+07:00,Hồ Chí Minh,117,/dl/web/weather/ic-w-09-mist-full.svg,5.5 km/h,80%,27.2°C,42.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T09:30:07.887603+07:00,Hồ Chí Minh,141,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,74%,28.9°C,51.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T10:35:59.606638+07:00,Hồ Chí Minh,106,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,68%,31.1°C,37.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T11:11:46.906112+07:00,Hồ Chí Minh,87,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,70%,30.0°C,28.5,N/A,N/A,N/A,N/A,N/A
2025-04-01T12:01:14.362868+07:00,Hồ Chí Minh,84,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,69%,30.0°C,27.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T13:12:26.503871+07:00,Hồ Chí Minh,86,/dl/web/weather/ic-w-06-rain-full.svg,3.7 km/h,89%,27.2°C,27.8,N/A,N/A,N/A,N/A,N/A
2025-04-01T14:09:18.967373+07:00,Hồ Chí Minh,84,/dl/web/weather/ic-w-06-rain-full.svg,13.0 km/h,79%,27.8°C,26.8,N/A,N/A,N/A,N/A,N/A
2025-04-01T15:11:51.220287+07:00,Hồ Chí Minh,100,/dl/web/weather/ic-w-06-rain-full.svg,11.1 km/h,75%,27.8°C,35.3,N/A,N/A,N/A,N/A,N/A
2025-04-01T16:01:18.245559+07:00,Hồ Chí Minh,99,/dl/web/weather/ic-w-09-mist-full.svg,9.2 km/h,76%,27.8°C,35.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T17:01:35.871045+07:00,Hồ Chí Minh,111,/dl/web/weather/ic-w-09-mist-full.svg,11.3 km/h,80%,27.2°C,39.8,N/A,N/A,N/A,N/A,N/A
2025-04-01T18:01:19.335998+07:00,Hồ Chí Minh,105,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,81%,26.1°C,37.0,N/A,N/A,N/A,N/A,N/A
