timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-01-21T19:53:14.094654+07:00,Huế,87,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,73%
2025-01-21T20:06:13.918557+07:00,Huế,87,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,78%
2025-01-21T21:02:51.135439+07:00,Huế,91,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,78%
2025-01-21T22:02:48.185793+07:00,Huế,91,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,78%
2025-01-21T23:02:52.285168+07:00,Huế,89,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,78%
2025-01-22T00:02:47.748918+07:00,Huế,87,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,78%
2025-01-22T01:02:44.683662+07:00,Huế,87,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.2 km/h,89%
2025-01-22T02:02:37.565201+07:00,Huế,88,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,77%
2025-01-22T03:02:37.774953+07:00,Huế,96,/dl/web/weather/ic-w-09-mist-full.svg,1.8 km/h,77%
2025-01-22T04:02:38.509530+07:00,Huế,105,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,88%
2025-01-22T05:02:31.775252+07:00,Huế,106,/dl/web/weather/ic-w-09-mist-full.svg,1.8 km/h,94%
2025-01-22T06:02:25.111689+07:00,Huế,112,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%
2025-01-22T07:05:16.777662+07:00,Huế,116,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%
2025-01-22T09:25:25.177891+07:00,Huế,101,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,78%
2025-01-22T11:02:49.181173+07:00,Huế,92,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,60%
2025-01-22T12:02:40.366765+07:00,Huế,78,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,60%
2025-01-22T13:02:55.064029+07:00,Huế,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,60%
2025-01-22T14:02:41.204608+07:00,Huế,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,61%
2025-01-22T15:02:45.368525+07:00,Huế,59,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.8 km/h,64%
2025-01-22T16:02:41.041924+07:00,Huế,57,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.8 km/h,64%
2025-01-22T17:02:24.024169+07:00,Huế,55,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.8 km/h,64%
2025-01-22T18:02:11.341727+07:00,Huế,56,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.1 km/h,82%
2025-01-22T19:02:45.498607+07:00,Huế,59,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,9.2 km/h,73%
2025-01-22T20:06:09.109399+07:00,Huế,61,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,88%
2025-01-22T21:02:29.324961+07:00,Huế,65,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,88%
2025-01-22T22:02:23.976337+07:00,Huế,84,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,0.0 km/h,88%
2025-01-22T23:02:27.671983+07:00,Huế,98,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,0.0 km/h,83%
2025-01-23T00:02:50.405130+07:00,Huế,107,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,88%
2025-01-23T01:02:29.566586+07:00,Huế,94,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,94%
2025-01-23T02:02:28.344046+07:00,Huế,88,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%
2025-01-23T03:02:34.302099+07:00,Huế,78,/dl/web/weather/ic-w-09-mist-full.svg,0.0 km/h,94%
2025-01-23T04:02:22.094177+07:00,Huế,74,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%
2025-01-23T05:02:41.027568+07:00,Huế,71,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%
2025-01-23T06:02:30.546970+07:00,Huế,70,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%
2025-01-23T07:05:07.802220+07:00,Huế,68,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%
2025-01-23T08:28:56.355714+07:00,Huế,75,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,88%
2025-01-23T10:03:07.832287+07:00,Huế,79,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,83%
2025-01-23T11:02:20.595174+07:00,Huế,78,/dl/web/weather/ic-w-02-new-clouds-full.svg,9.2 km/h,68%
2025-01-23T12:02:17.347037+07:00,Huế,67,/dl/web/weather/ic-w-02-new-clouds-full.svg,5.5 km/h,53%
2025-01-23T13:02:26.273491+07:00,Huế,59,/dl/web/weather/ic-w-02-new-clouds-full.svg,5.5 km/h,53%
2025-01-23T14:02:22.038693+07:00,Huế,56,/dl/web/weather/ic-w-02-new-clouds-full.svg,7.4 km/h,53%
2025-01-23T15:02:20.032897+07:00,Huế,57,/dl/web/weather/ic-w-02-new-clouds-full.svg,13.0 km/h,57%
2025-01-23T16:02:23.779863+07:00,Huế,56,/dl/web/weather/ic-w-02-new-clouds-full.svg,14.8 km/h,61%
2025-01-23T17:02:40.521794+07:00,Huế,55,/dl/web/weather/ic-w-02-new-clouds-full.svg,13.0 km/h,57%
2025-01-23T18:02:08.414428+07:00,Huế,56,/dl/web/weather/ic-w-02-new-clouds-full.svg,13.0 km/h,64%
2025-01-23T19:02:39.044356+07:00,Huế,60,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,9.2 km/h,78%
2025-01-23T20:05:52.135763+07:00,Huế,61,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,83%
2025-01-23T21:02:37.357931+07:00,Huế,62,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,83%
2025-01-23T22:02:29.633690+07:00,Huế,69,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,88%
2025-01-23T23:02:30.679110+07:00,Huế,89,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,94%
