timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-03-01T00:01:54.319260+07:00,Huế,56,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.5 km/h,97%,20.0°C,11.9,16.1,14.0,10.9,56.0,1.7
2025-03-01T01:11:03.264394+07:00,Huế,58,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,2.7 km/h,97%,20.0°C,12.7,17.4,10.7,10.9,55.7,1.3
2025-03-01T02:01:48.616951+07:00,Huế,62,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,2.7 km/h,97%,20.0°C,15.1,20.9,6.8,10.9,55.9,1.4
2025-03-01T03:10:29.796387+07:00,Huế,65,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,2.6 km/h,97%,18.9°C,16.7,23.0,9.5,10.9,56.0,0.9
2025-03-01T04:01:46.489240+07:00,Huế,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,2.6 km/h,97%,18.9°C,19.1,25.8,10.6,10.9,56.0,0.7
2025-03-01T05:01:53.933524+07:00,Huế,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.0 km/h,96%,18.9°C,20.0,27.1,14.0,11.2,56.6,0.7
2025-03-01T06:01:20.280022+07:00,Huế,72,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,2.4 km/h,96%,18.9°C,20.5,27.7,9.4,11.2,56.3,1.0
2025-03-01T09:18:16.560462+07:00,Huế,61,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.4 km/h,79%,23.9°C,14.6,19.7,6.7,11.2,56.5,1.7
2025-03-01T10:22:35.408705+07:00,Huế,57,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.5 km/h,75%,25.0°C,12.6,17.8,14.8,12.0,56.9,2.2
2025-03-01T11:09:33.093238+07:00,Huế,57,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.7 km/h,73%,26.1°C,12.6,17.8,14.8,12.0,56.9,2.2
2025-03-01T12:01:44.883601+07:00,Huế,61,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.7 km/h,73%,26.1°C,14.4,20.0,14.8,11.4,57.8,1.8
2025-03-01T13:10:21.214896+07:00,Huế,63,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.9 km/h,74%,26.1°C,15.8,21.7,14.8,11.3,57.9,1.4
2025-03-01T14:01:32.051093+07:00,Huế,61,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.9 km/h,74%,26.1°C,14.5,19.3,14.8,10.9,56.6,0.9
