timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-05-01T00:01:33.426278+07:00,Huế,34,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,83%,27.2°C,5.7,8.0,10.9,12.3,64.5,0.8
2025-05-01T01:11:50.520872+07:00,Huế,34,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,83%,27.2°C,5.6,7.8,10.9,12.3,65.0,0.5
2025-05-01T02:01:37.089336+07:00,Huế,34,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,83%,27.2°C,5.8,7.9,10.7,10.9,65.2,0.4
2025-05-01T03:09:54.144694+07:00,Huế,35,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,94%,26.1°C,6.4,8.4,11.1,11.6,64.7,0.4
2025-05-01T04:01:44.927909+07:00,Huế,37,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,5.5 km/h,94%,26.1°C,6.7,8.8,10.1,11.3,65.6,0.4
2025-05-01T05:01:47.898418+07:00,Huế,37,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,5.5 km/h,94%,26.1°C,6.7,9.0,11.3,11.8,65.4,0.5
2025-05-01T06:01:45.202227+07:00,Huế,40,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,5.5 km/h,94%,25.0°C,7.3,9.8,10.8,11.9,65.9,0.7
2025-05-01T07:45:13.118793+07:00,Huế,49,/dl/web/weather/ic-w-02-new-clouds-full.svg,3.7 km/h,89%,26.1°C,8.9,12.1,11.1,10.9,66.0,1.0
2025-05-01T09:40:37.270594+07:00,Huế,63,/dl/web/weather/ic-w-02-new-clouds-full.svg,5.5 km/h,66%,30.0°C,15.3,20.2,11.7,11.4,65.8,0.8
2025-05-01T10:39:20.964791+07:00,Huế,59,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,70%,30.0°C,13.5,18.6,12.8,11.4,65.6,0.9
2025-05-01T11:15:03.887586+07:00,Huế,55,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,66%,31.1°C,11.4,16.3,13.9,11.6,65.0,0.6
2025-05-01T12:01:38.494821+07:00,Huế,55,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,66%,31.1°C,11.4,16.3,13.9,11.6,65.0,0.6
2025-05-01T13:13:24.597289+07:00,Huế,52,/dl/web/weather/ic-w-02-new-clouds-full.svg,14.8 km/h,66%,31.1°C,9.5,14.5,13.9,12.1,64.9,0.5
2025-05-01T14:01:44.417710+07:00,Huế,46,/dl/web/weather/ic-w-02-new-clouds-full.svg,16.7 km/h,66%,31.1°C,8.3,12.4,16.0,12.2,64.5,0.4
2025-05-01T15:12:08.295770+07:00,Huế,43,/dl/web/weather/ic-w-02-new-clouds-full.svg,16.7 km/h,62%,31.1°C,7.8,11.8,14.1,12.2,64.9,0.4
2025-05-01T16:09:29.584215+07:00,Huế,40,/dl/web/weather/ic-w-02-new-clouds-full.svg,16.7 km/h,70%,30.0°C,7.3,11.2,13.9,11.1,64.2,0.4
2025-05-01T17:01:58.018498+07:00,Huế,41,/dl/web/weather/ic-w-02-new-clouds-full.svg,14.8 km/h,70%,30.0°C,7.4,12.4,13.6,11.7,63.6,0.5
2025-05-01T18:01:38.111339+07:00,Huế,46,/dl/web/weather/ic-w-06-rain-full.svg,11.1 km/h,79%,28.9°C,8.2,12.9,13.1,12.0,63.9,0.6
2025-05-01T19:14:59.405387+07:00,Huế,52,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,7.4 km/h,83%,27.8°C,9.7,13.5,13.1,11.2,64.2,1.0
2025-05-01T20:19:37.938073+07:00,Huế,51,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,83%,27.8°C,9.4,12.9,12.8,11.4,64.5,1.1
2025-05-01T21:01:49.759124+07:00,Huế,51,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,89%,27.8°C,9.4,12.9,12.8,11.4,64.5,1.1
2025-05-01T22:01:40.765833+07:00,Huế,51,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,89%,27.8°C,9.3,12.7,12.0,11.4,64.1,1.1
2025-05-01T23:10:50.249851+07:00,Huế,51,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,89%,27.2°C,9.3,12.7,12.3,12.3,64.8,1.0
2025-05-02T00:08:05.721539+07:00,Huế,52,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,89%,27.2°C,9.4,12.8,11.9,12.3,65.3,1.1
2025-05-02T01:11:43.219062+07:00,Huế,56,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,94%,26.1°C,11.6,15.4,11.8,12.3,65.1,0.6
2025-05-02T02:01:27.451471+07:00,Huế,57,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,94%,26.1°C,12.4,16.5,11.3,11.4,65.0,0.5
2025-05-02T03:01:33.283306+07:00,Huế,54,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,94%,26.1°C,11.0,14.9,12.2,11.3,65.0,0.5
2025-05-02T04:08:17.031344+07:00,Huế,55,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,94%,25.0°C,11.2,15.1,11.5,11.3,65.4,0.5
2025-05-02T05:02:06.667762+07:00,Huế,55,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,88%,25.0°C,11.2,15.1,11.1,11.9,65.4,0.5
2025-05-02T06:01:33.126085+07:00,Huế,54,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,88%,25.0°C,10.9,14.7,11.0,12.0,65.9,0.6
2025-05-02T07:40:02.476124+07:00,Huế,55,/dl/web/weather/ic-w-02-new-clouds-full.svg,7.4 km/h,83%,26.1°C,11.3,15.3,10.8,11.9,66.3,1.0
2025-05-02T09:24:39.830571+07:00,Huế,54,/dl/web/weather/ic-w-02-new-clouds-full.svg,3.7 km/h,70%,28.9°C,10.7,15.2,11.5,11.9,65.8,0.9
2025-05-02T10:33:43.088494+07:00,Huế,53,/dl/web/weather/ic-w-02-new-clouds-full.svg,5.5 km/h,58%,31.1°C,10.1,15.2,12.6,11.3,65.1,0.7
2025-05-02T11:01:47.857537+07:00,Huế,53,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,66%,31.1°C,10.1,15.2,12.6,11.3,65.1,0.7
2025-05-02T12:09:41.930545+07:00,Huế,53,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,66%,31.1°C,10.3,16.1,13.5,11.3,64.8,0.6
