timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-04-01T00:01:51.604133+07:00,Vinh,91,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,0.6 km/h,78%,16.1°C,30.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T01:11:56.545337+07:00,Vinh,91,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.2 km/h,80%,16.1°C,30.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T02:01:59.567987+07:00,Vinh,94,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.2 km/h,80%,16.1°C,32.2,N/A,N/A,N/A,N/A,N/A
2025-04-01T03:10:01.711756+07:00,Vinh,94,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.1 km/h,82%,16.1°C,32.2,N/A,N/A,N/A,N/A,N/A
2025-04-01T04:01:56.680258+07:00,Vinh,94,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.1 km/h,82%,16.1°C,32.2,N/A,N/A,N/A,N/A,N/A
2025-04-01T05:01:59.003809+07:00,Vinh,93,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.6 km/h,84%,16.1°C,31.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T06:01:53.385584+07:00,Vinh,93,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.6 km/h,85%,16.1°C,31.7,N/A,N/A,N/A,N/A,N/A
2025-04-01T07:44:35.169877+07:00,Vinh,97,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.1 km/h,88%,16.1°C,34.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T09:30:45.232941+07:00,Vinh,97,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.4 km/h,84%,16.1°C,34.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T10:36:34.162235+07:00,Vinh,97,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.9 km/h,79%,16.1°C,34.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T11:12:20.043828+07:00,Vinh,109,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,72%,17.2°C,38.9,N/A,N/A,N/A,N/A,N/A
2025-04-01T12:01:47.412439+07:00,Vinh,109,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,72%,17.2°C,38.9,N/A,N/A,N/A,N/A,N/A
2025-04-01T13:12:59.149691+07:00,Vinh,109,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.9 km/h,60%,20.0°C,38.9,N/A,N/A,N/A,N/A,N/A
2025-04-01T14:09:54.107786+07:00,Vinh,112,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.6 km/h,57%,20.0°C,40.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T15:12:25.464384+07:00,Vinh,112,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.4 km/h,58%,20.0°C,40.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T16:01:52.105367+07:00,Vinh,112,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.4 km/h,58%,20.0°C,40.0,N/A,N/A,N/A,N/A,N/A
2025-04-01T17:02:12.266382+07:00,Vinh,122,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.4 km/h,60%,18.9°C,44.2,N/A,N/A,N/A,N/A,N/A
2025-04-01T18:01:52.448264+07:00,Vinh,122,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.9 km/h,74%,17.2°C,44.2,N/A,N/A,N/A,N/A,N/A
2025-04-01T19:15:44.292817+07:00,Vinh,122,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.9 km/h,74%,17.2°C,44.2,N/A,N/A,N/A,N/A,N/A
2025-04-01T20:21:25.936571+07:00,Vinh,128,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.3 km/h,75%,16.1°C,46.3,N/A,N/A,N/A,N/A,N/A
2025-04-01T21:01:59.829682+07:00,Vinh,128,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.5 km/h,76%,16.1°C,46.3,N/A,N/A,N/A,N/A,N/A
2025-04-01T22:09:08.813582+07:00,Vinh,128,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.8 km/h,78%,16.1°C,46.3,N/A,N/A,N/A,N/A,N/A
2025-04-01T23:02:02.821643+07:00,Vinh,133,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.8 km/h,78%,16.1°C,48.3,N/A,N/A,N/A,N/A,N/A
2025-04-02T00:02:03.383388+07:00,Vinh,133,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.6 km/h,81%,15.0°C,48.3,N/A,N/A,N/A,N/A,N/A
2025-04-02T01:11:04.823760+07:00,Vinh,133,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.8 km/h,86%,13.9°C,48.3,N/A,N/A,N/A,N/A,N/A
2025-04-02T02:02:01.817457+07:00,Vinh,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.8 km/h,86%,13.9°C,56.3,N/A,N/A,N/A,N/A,N/A
2025-04-02T03:02:08.823029+07:00,Vinh,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.1 km/h,82%,13.9°C,56.3,N/A,N/A,N/A,N/A,N/A
2025-04-02T04:01:43.009926+07:00,Vinh,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.2 km/h,81%,13.9°C,56.3,N/A,N/A,N/A,N/A,N/A
2025-04-02T05:01:53.162100+07:00,Vinh,141,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.1 km/h,80%,13.9°C,51.7,N/A,N/A,N/A,N/A,N/A
2025-04-02T06:01:54.672924+07:00,Vinh,141,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.5 km/h,80%,13.9°C,51.7,N/A,N/A,N/A,N/A,N/A
2025-04-02T07:39:07.871795+07:00,Vinh,137,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.5 km/h,75%,16.1°C,50.2,N/A,N/A,N/A,N/A,N/A
2025-04-02T09:20:19.908597+07:00,Vinh,137,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.6 km/h,62%,18.9°C,50.2,N/A,N/A,N/A,N/A,N/A
2025-04-02T10:26:05.024821+07:00,Vinh,137,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.3 km/h,60%,20.0°C,50.2,N/A,N/A,N/A,N/A,N/A
2025-04-02T11:10:48.616695+07:00,Vinh,138,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.6 km/h,58%,21.1°C,50.7,N/A,N/A,N/A,N/A,N/A
2025-04-02T12:01:50.384082+07:00,Vinh,138,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,57%,22.2°C,50.7,N/A,N/A,N/A,N/A,N/A
2025-04-02T13:01:56.269593+07:00,Vinh,138,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,57%,22.2°C,50.7,N/A,N/A,N/A,N/A,N/A
2025-04-02T14:09:19.447147+07:00,Vinh,129,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.4 km/h,55%,22.2°C,46.8,N/A,N/A,N/A,N/A,N/A
2025-04-02T15:12:02.252117+07:00,Vinh,129,/dl/web/weather/ic-w-01-clear-sky-full.svg,14.2 km/h,53%,22.2°C,46.8,N/A,N/A,N/A,N/A,N/A
2025-04-02T16:09:22.209369+07:00,Vinh,129,/dl/web/weather/ic-w-01-clear-sky-full.svg,12.4 km/h,55%,22.2°C,46.8,N/A,N/A,N/A,N/A,N/A
2025-04-02T17:09:29.464975+07:00,Vinh,153,/dl/web/weather/ic-w-01-clear-sky-full.svg,11.4 km/h,58%,21.1°C,57.9,N/A,N/A,N/A,N/A,N/A
2025-04-02T18:01:43.611854+07:00,Vinh,153,/dl/web/weather/ic-w-01-clear-sky-full.svg,11.4 km/h,58%,21.1°C,57.9,N/A,N/A,N/A,N/A,N/A
2025-04-02T19:15:27.591377+07:00,Vinh,153,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,6.1 km/h,67%,18.9°C,57.9,N/A,N/A,N/A,N/A,N/A
2025-04-02T20:20:15.703628+07:00,Vinh,128,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,6.8 km/h,64%,17.8°C,46.5,N/A,N/A,N/A,N/A,N/A
2025-04-02T21:01:50.476829+07:00,Vinh,128,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,6.8 km/h,64%,17.8°C,46.5,N/A,N/A,N/A,N/A,N/A
2025-04-02T22:08:57.787765+07:00,Vinh,128,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,67%,17.8°C,46.5,N/A,N/A,N/A,N/A,N/A
2025-04-02T23:02:03.888025+07:00,Vinh,141,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,67%,17.8°C,51.8,N/A,N/A,N/A,N/A,N/A
2025-04-03T00:01:49.597718+07:00,Vinh,141,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.3 km/h,69%,17.2°C,51.8,N/A,N/A,N/A,N/A,N/A
2025-04-03T01:12:15.863774+07:00,Vinh,141,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.5 km/h,72%,16.1°C,51.8,N/A,N/A,N/A,N/A,N/A
2025-04-03T02:01:39.903553+07:00,Vinh,148,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.5 km/h,72%,16.1°C,54.4,N/A,N/A,N/A,N/A,N/A
2025-04-03T03:09:28.584569+07:00,Vinh,148,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.9 km/h,70%,16.1°C,54.4,N/A,N/A,N/A,N/A,N/A
